LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-41,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-41,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-41, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-41,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-41,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,,CA:A9:96:5B:50:05,-42,,0.000000,0.000000,0.000,0.000,Client
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-39, OPN,0.000000,0.000000,0.000,0.000,AP
2025-09-28 14:42:29,1900-01-00 00:00:00,cmd=30EF36D,C4:D7:FD:0E:F3:6D,-40, OPN,0.000000,0.000000,0.000,0.000,AP
